Store,StoreType,Assortment,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2,Promo2SinceWeek,Promo2SinceYear,PromoInterval
133,a,a,270.0,8.0,2013.0,1,10.0,2014.0,"Mar,Jun,Sept,Dec"
134,a,a,1200.0,9.0,2008.0,0,14.0,2011.0,"Jan,Apr,Jul,Oct"
135,d,a,5190.0,9.0,2013.0,1,1.0,2013.0,"Jan,Apr,Jul,Oct"
136,a,c,2200.0,12.0,2010.0,1,22.0,2012.0,"Feb,May,Aug,Nov"
137,a,a,1730.0,7.0,2015.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
138,a,c,25360.0,10.0,2014.0,0,14.0,2011.0,"Jan,Apr,Jul,Oct"
139,a,a,1700.0,1.0,2008.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
140,a,c,1090.0,7.0,2010.0,1,1.0,2013.0,"Jan,Apr,Jul,Oct"
141,c,c,1540.0,9.0,2013.0,1,22.0,2012.0,"Mar,Jun,Sept,Dec"
142,a,a,1090.0,7.0,2002.0,0,14.0,2011.0,"Jan,Apr,Jul,Oct"
143,d,a,2930.0,12.0,2002.0,0,14.0,2011.0,"Jan,Apr,Jul,Oct"
144,a,c,16570.0,9.0,2013.0,0,14.0,2011.0,"Jan,Apr,Jul,Oct"
145,a,a,280.0,9.0,2013.0,1,45.0,2009.0,"Feb,May,Aug,Nov"
146,d,c,8050.0,10.0,1961.0,1,48.0,2012.0,"Jan,Apr,Jul,Oct"
147,d,c,8540.0,9.0,2013.0,0,14.0,2011.0,"Jan,Apr,Jul,Oct"
148,a,a,2090.0,12.0,2008.0,0,14.0,2011.0,"Jan,Apr,Jul,Oct"
149,d,a,2610.0,7.0,2006.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
150,c,c,31830.0,3.0,2010.0,0,14.0,2011.0,"Jan,Apr,Jul,Oct"
151,d,c,4360.0,10.0,2005.0,0,14.0,2011.0,"Jan,Apr,Jul,Oct"
152,a,a,1780.0,9.0,2013.0,0,14.0,2011.0,"Jan,Apr,Jul,Oct"
153,a,a,16240.0,10.0,2000.0,1,18.0,2011.0,"Feb,May,Aug,Nov"
154,d,c,16420.0,9.0,2013.0,0,14.0,2011.0,"Jan,Apr,Jul,Oct"
155,d,a,3050.0,9.0,2013.0,1,35.0,2010.0,"Jan,Apr,Jul,Oct"
156,a,a,2020.0,2.0,2011.0,1,14.0,2011.0,"Mar,Jun,Sept,Dec"
157,a,c,2950.0,10.0,2004.0,0,14.0,2011.0,"Jan,Apr,Jul,Oct"
158,d,c,11840.0,9.0,2013.0,1,31.0,2009.0,"Feb,May,Aug,Nov"
159,d,a,8530.0,3.0,2013.0,0,14.0,2011.0,"Jan,Apr,Jul,Oct"
160,d,c,17110.0,11.0,2005.0,0,14.0,2011.0,"Jan,Apr,Jul,Oct"
161,a,c,2970.0,3.0,2005.0,0,14.0,2011.0,"Jan,Apr,Jul,Oct"
162,d,c,5340.0,3.0,2012.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct"
163,a,a,1480.0,4.0,2009.0,0,14.0,2011.0,"Jan,Apr,Jul,Oct"
164,a,a,1160.0,9.0,2005.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct"
165,a,a,3720.0,4.0,2005.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct"
166,a,c,100.0,4.0,2014.0,1,31.0,2013.0,"Jan,Apr,Jul,Oct"
167,a,a,140.0,4.0,2008.0,0,14.0,2011.0,"Jan,Apr,Jul,Oct"
168,a,a,12540.0,9.0,2013.0,0,14.0,2011.0,"Jan,Apr,Jul,Oct"
169,d,a,980.0,7.0,2014.0,1,18.0,2014.0,"Feb,May,Aug,Nov"
170,a,a,1070.0,5.0,2015.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
171,a,a,2640.0,9.0,2013.0,0,14.0,2011.0,"Jan,Apr,Jul,Oct"
172,a,a,110.0,9.0,2013.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
173,a,a,350.0,12.0,2012.0,0,14.0,2011.0,"Jan,Apr,Jul,Oct"
174,a,a,13090.0,9.0,2013.0,1,22.0,2012.0,"Jan,Apr,Jul,Oct"
175,c,a,4130.0,9.0,2013.0,0,14.0,2011.0,"Jan,Apr,Jul,Oct"
176,a,a,3770.0,9.0,2013.0,0,14.0,2011.0,"Jan,Apr,Jul,Oct"
177,a,a,1250.0,2.0,2004.0,1,5.0,2013.0,"Feb,May,Aug,Nov"
178,d,a,1710.0,9.0,2013.0,0,14.0,2011.0,"Jan,Apr,Jul,Oct"
179,a,c,480.0,9.0,2013.0,0,14.0,2011.0,"Jan,Apr,Jul,Oct"
180,d,a,5800.0,9.0,2010.0,0,14.0,2011.0,"Jan,Apr,Jul,Oct"
181,a,a,12610.0,3.0,2013.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
182,d,c,1390.0,9.0,2013.0,1,9.0,2011.0,"Mar,Jun,Sept,Dec"
183,a,a,9670.0,9.0,2013.0,0,14.0,2011.0,"Jan,Apr,Jul,Oct"
184,d,c,3560.0,9.0,2013.0,0,14.0,2011.0,"Jan,Apr,Jul,Oct"
185,d,c,1860.0,5.0,2015.0,0,14.0,2011.0,"Jan,Apr,Jul,Oct"
186,a,a,290.0,10.0,2011.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
187,a,c,19360.0,9.0,2013.0,0,14.0,2011.0,"Jan,Apr,Jul,Oct"
188,d,a,850.0,9.0,2013.0,1,18.0,2011.0,"Feb,May,Aug,Nov"
189,d,a,5760.0,7.0,2014.0,0,14.0,2011.0,"Jan,Apr,Jul,Oct"
190,a,a,1470.0,12.0,2006.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
191,a,a,1100.0,8.0,2013.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
192,d,c,2770.0,3.0,2008.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
193,a,a,520.0,9.0,2013.0,0,14.0,2011.0,"Jan,Apr,Jul,Oct"
194,d,c,16970.0,9.0,2013.0,1,5.0,2013.0,"Feb,May,Aug,Nov"
195,a,c,220.0,9.0,2013.0,0,14.0,2011.0,"Jan,Apr,Jul,Oct"
196,c,a,3850.0,11.0,2005.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
197,c,a,4210.0,3.0,2015.0,0,14.0,2011.0,"Jan,Apr,Jul,Oct"
198,a,a,290.0,9.0,2002.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct"
199,d,c,6360.0,12.0,2010.0,1,14.0,2012.0,"Mar,Jun,Sept,Dec"
200,a,a,1650.0,10.0,2000.0,0,14.0,2011.0,"Jan,Apr,Jul,Oct"
201,d,a,20260.0,9.0,2013.0,1,18.0,2014.0,"Mar,Jun,Sept,Dec"
202,d,c,5140.0,5.0,2010.0,0,14.0,2011.0,"Jan,Apr,Jul,Oct"
203,c,c,490.0,11.0,2002.0,0,14.0,2011.0,"Jan,Apr,Jul,Oct"
204,a,a,5630.0,12.0,2002.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
205,a,a,110.0,12.0,2007.0,0,14.0,2011.0,"Jan,Apr,Jul,Oct"
206,a,c,380.0,9.0,2013.0,1,14.0,2012.0,"Jan,Apr,Jul,Oct"
207,a,a,6870.0,9.0,2013.0,0,14.0,2011.0,"Jan,Apr,Jul,Oct"
208,c,a,300.0,4.0,2006.0,0,14.0,2011.0,"Jan,Apr,Jul,Oct"
209,a,c,11680.0,9.0,2011.0,1,31.0,2013.0,"Jan,Apr,Jul,Oct"
210,d,a,970.0,11.0,1999.0,1,5.0,2013.0,"Feb,May,Aug,Nov"
211,a,c,350.0,11.0,2006.0,0,14.0,2011.0,"Jan,Apr,Jul,Oct"
212,a,c,15050.0,9.0,2008.0,0,14.0,2011.0,"Jan,Apr,Jul,Oct"
213,d,c,4030.0,3.0,2014.0,1,1.0,2014.0,"Jan,Apr,Jul,Oct"
214,d,a,8650.0,7.0,2013.0,1,10.0,2014.0,"Jan,Apr,Jul,Oct"
215,d,a,150.0,9.0,2013.0,1,45.0,2009.0,"Feb,May,Aug,Nov"
216,c,a,190.0,9.0,2013.0,1,45.0,2009.0,"Feb,May,Aug,Nov"
217,c,a,3150.0,9.0,2013.0,0,14.0,2011.0,"Jan,Apr,Jul,Oct"
218,a,c,640.0,9.0,2013.0,1,9.0,2011.0,"Mar,Jun,Sept,Dec"
219,a,a,1640.0,2.0,2013.0,0,14.0,2011.0,"Jan,Apr,Jul,Oct"
220,a,a,1000.0,9.0,2008.0,0,14.0,2011.0,"Jan,Apr,Jul,Oct"
221,d,c,13530.0,9.0,2013.0,0,14.0,2011.0,"Jan,Apr,Jul,Oct"
222,a,a,2170.0,11.0,2008.0,0,14.0,2011.0,"Jan,Apr,Jul,Oct"
223,d,c,2920.0,10.0,1995.0,1,27.0,2011.0,"Jan,Apr,Jul,Oct"
224,d,c,7930.0,9.0,2013.0,1,1.0,2013.0,"Jan,Apr,Jul,Oct"
225,d,a,10180.0,5.0,2015.0,0,14.0,2011.0,"Jan,Apr,Jul,Oct"
226,a,a,450.0,9.0,2013.0,0,14.0,2011.0,"Jan,Apr,Jul,Oct"
227,a,a,2370.0,9.0,2013.0,0,14.0,2011.0,"Jan,Apr,Jul,Oct"
228,d,c,10800.0,9.0,2013.0,1,18.0,2011.0,"Feb,May,Aug,Nov"
229,d,c,17410.0,4.0,2007.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
230,d,c,6680.0,9.0,2013.0,0,14.0,2011.0,"Jan,Apr,Jul,Oct"
231,d,c,3840.0,10.0,2008.0,1,39.0,2010.0,"Feb,May,Aug,Nov"
232,c,c,13570.0,5.0,2010.0,1,10.0,2013.0,"Mar,Jun,Sept,Dec"
233,a,a,1890.0,9.0,2013.0,0,14.0,2011.0,"Jan,Apr,Jul,Oct"
234,d,a,4370.0,9.0,2013.0,0,14.0,2011.0,"Jan,Apr,Jul,Oct"
235,a,a,5710.0,3.0,2012.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct"
236,a,a,1000.0,11.0,2007.0,0,14.0,2011.0,"Jan,Apr,Jul,Oct"
237,a,a,1420.0,11.0,2007.0,0,14.0,2011.0,"Jan,Apr,Jul,Oct"
238,a,a,320.0,9.0,2013.0,1,45.0,2009.0,"Feb,May,Aug,Nov"
239,d,c,610.0,9.0,2013.0,0,14.0,2011.0,"Jan,Apr,Jul,Oct"
240,a,a,1110.0,5.0,2009.0,0,14.0,2011.0,"Jan,Apr,Jul,Oct"
241,d,c,780.0,9.0,2013.0,0,14.0,2011.0,"Jan,Apr,Jul,Oct"
242,d,a,6880.0,9.0,2001.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
243,a,a,310.0,9.0,2013.0,1,5.0,2013.0,"Feb,May,Aug,Nov"
244,d,a,710.0,3.0,2012.0,1,1.0,2012.0,"Jan,Apr,Jul,Oct"
245,a,c,1310.0,9.0,2013.0,0,14.0,2011.0,"Jan,Apr,Jul,Oct"
246,c,a,4660.0,4.0,2013.0,0,14.0,2011.0,"Jan,Apr,Jul,Oct"
247,d,c,70.0,11.0,2010.0,1,5.0,2013.0,"Feb,May,Aug,Nov"
248,a,c,340.0,9.0,2012.0,1,40.0,2012.0,"Jan,Apr,Jul,Oct"
249,d,c,18010.0,9.0,2014.0,0,14.0,2011.0,"Jan,Apr,Jul,Oct"
250,d,a,3520.0,9.0,2013.0,1,18.0,2012.0,"Feb,May,Aug,Nov"
251,a,c,340.0,9.0,2013.0,0,14.0,2011.0,"Jan,Apr,Jul,Oct"
252,d,c,22330.0,9.0,2013.0,1,5.0,2010.0,"Feb,May,Aug,Nov"
253,a,c,250.0,9.0,2013.0,1,5.0,2013.0,"Feb,May,Aug,Nov"
254,d,a,330.0,3.0,2008.0,1,1.0,2012.0,"Mar,Jun,Sept,Dec"
255,c,c,4630.0,3.0,2011.0,1,35.0,2011.0,"Feb,May,Aug,Nov"
256,a,c,80.0,9.0,2005.0,1,10.0,2014.0,"Mar,Jun,Sept,Dec"
257,a,a,420.0,12.0,2012.0,0,14.0,2011.0,"Jan,Apr,Jul,Oct"
258,a,a,27190.0,7.0,2010.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct"
259,b,b,210.0,9.0,2013.0,0,14.0,2011.0,"Jan,Apr,Jul,Oct"
260,a,a,540.0,10.0,2011.0,0,14.0,2011.0,"Jan,Apr,Jul,Oct"
261,d,c,15340.0,4.0,2015.0,1,39.0,2009.0,"Jan,Apr,Jul,Oct"
262,b,a,1180.0,5.0,2013.0,0,14.0,2011.0,"Jan,Apr,Jul,Oct"
263,a,c,1140.0,5.0,2013.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
264,a,a,180.0,3.0,2014.0,0,14.0,2011.0,"Jan,Apr,Jul,Oct"
265,a,a,4580.0,9.0,2013.0,1,14.0,2015.0,"Jan,Apr,Jul,Oct"
266,a,c,360.0,3.0,2014.0,1,9.0,2011.0,"Mar,Jun,Sept,Dec"
267,c,a,2460.0,1.0,2012.0,0,14.0,2011.0,"Jan,Apr,Jul,Oct"
268,a,a,4520.0,2.0,2014.0,0,14.0,2011.0,"Jan,Apr,Jul,Oct"
269,a,c,60.0,6.0,2015.0,0,14.0,2011.0,"Jan,Apr,Jul,Oct"
270,a,a,1450.0,7.0,2014.0,0,14.0,2011.0,"Jan,Apr,Jul,Oct"
271,a,a,420.0,9.0,2013.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
272,a,a,16180.0,7.0,2003.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
273,a,c,8480.0,9.0,2013.0,0,14.0,2011.0,"Jan,Apr,Jul,Oct"
274,b,b,3640.0,9.0,2013.0,1,10.0,2013.0,"Jan,Apr,Jul,Oct"
275,d,a,300.0,5.0,2014.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
276,a,a,2960.0,10.0,2014.0,1,36.0,2013.0,"Mar,Jun,Sept,Dec"
277,d,c,7840.0,9.0,2013.0,1,31.0,2009.0,"Feb,May,Aug,Nov"
278,a,c,9260.0,2.0,2010.0,0,14.0,2011.0,"Jan,Apr,Jul,Oct"
279,d,c,2320.0,9.0,2013.0,1,40.0,2012.0,"Jan,Apr,Jul,Oct"
280,d,c,18640.0,9.0,2013.0,1,10.0,2014.0,"Mar,Jun,Sept,Dec"
281,d,c,6970.0,9.0,2011.0,0,14.0,2011.0,"Jan,Apr,Jul,Oct"
282,a,a,1220.0,12.0,2010.0,0,14.0,2011.0,"Jan,Apr,Jul,Oct"
283,a,a,2260.0,9.0,2013.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
284,d,a,1290.0,9.0,2013.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
285,a,a,2410.0,9.0,2013.0,0,14.0,2011.0,"Jan,Apr,Jul,Oct"
